Organisation,CityName,Country,Region,Access,C40,ReportingYear,TypeOfTarget,Sector,BaselineYear,BaselineEmissions,PercentageReductionTarget,Target date,EstimatedBAUAbsoluteEmissions,​IntensityUnit,Comment,CurrentPopulation,PopulationYear,CityLocation
Barreiro,Barreiro,Portugal,Europe,Public,,2017,Absolute target,Total,2008,347987,20,2020,,,There is a difference between the amount of CO2 emissions presented in SEAP and this table due to a change in the calculation methodology.,78764,2011,"(38.660815, -9.079072)"
Basel-Stadt,Basel-Stadt,Switzerland,Europe,Public,C40,2017,Absolute target,Total,1990,1108030,20,2020,,,Swiss federal law CO2,198206,2016,"(47.5619, 7.5928)"
Basel-Stadt,Basel-Stadt,Switzerland,Europe,Public,C40,2017,Base year intensity target,,2001,,,,,,,198206,2016,"(47.5619, 7.5928)"
Batangas City,Batangas,Philippines,South Asia and Oceania,Public,,2017,Absolute target,Total,2015,657636,25,2030,,,,354170,2016,"(13.7565, 121.0583)"
Batangas City,Batangas,Philippines,South Asia and Oceania,Public,,2017,Baseline scenario (business as usual) target,,,,,,,,,354170,2016,"(13.7565, 121.0583)"
Bogor City Government,"Bogor ",Indonesia,South Asia and Oceania,Public,,2017,Absolute target,Total,2014,2193642,33,2030,,,WEM (With Existing Measure) Scenario,1047922,2015,"(-6.5971, 106.806)"
Bogotá Distrito Capital,"Bogotá ",Colombia,Latin America,Public,C40,2017,Absolute target,Total,2008,16279278,62,2050,,,,7980001,2016,"(4.711, -74.0721)"
Bornova Municipality,"Bornova ",Turkey,Europe,Public,,2017,Absolute target,,,,,,,,,438549,2016,"(35.2141598, 33.2947541)"
Byron Shire Council,Byron Shire,Australia,South Asia and Oceania,Public,,2017,Absolute target,Total,2015,263199,100,2025,,,"This target covers the five areas of energy, buildings, waste, land use, transport. Included is a 100% RE target.",29209,2011,"(-28.6534, 153.5334)"
Canberra,Canberra,Australia,South Asia and Oceania,Public,,2017,Absolute target,Total,1990,3196800,40,2020,,,Baseline emissions subject to change should in event of methodology change,400000,2016,"(-35.3075, 149.1244)"
Canberra,Canberra,Australia,South Asia and Oceania,Public,,2017,Absolute target,Total,1990,3196800,100,2050,,,Baseline emissions subject to change should in event of methodology change,400000,2016,"(-35.3075, 149.1244)"
Changwon City,"Changwon ",South Korea,East Asia,Public,C40,2017,Absolute target,Waste,,,,,,,,1063907,2016,"(35.154167, 126.949167)"
City Government of Makati,Makati,Philippines,South Asia and Oceania,Public,,2017,Absolute target,,2011,,42,2020,,,Figures in the 4th column entails the reduction effort in tCO2e in 10 years time. Baseline emission is the Total emission of 1.6 tCO2e.,529039,2010,"(14.554729, 121.024445)"
City Government of Makati,Makati,Philippines,South Asia and Oceania,Public,,2017,Absolute target,,2011,,52,2020,,,Figures in the 4th column entails the reduction effort in tCO2e in 10 years time. Baseline emission is the Total emission of 1.6 tCO2e.,529039,2010,"(14.554729, 121.024445)"
City Government of Makati,Makati,Philippines,South Asia and Oceania,Public,,2017,Absolute target,,2011,,13,2020,,,Figures in the 4th column entails the reduction effort in tCO2e in 10 years time. Baseline emission is the Total emission of 1.6 tCO2e.,529039,2010,"(14.554729, 121.024445)"
City of Adelaide,Adelaide,Australia,South Asia and Oceania,Public,,2017,Absolute target,,,,100,2025,,,Target = zero net carbon emissions by 2025 (so there is no baseline year).,23615,2016,"(-34.928499, 138.600746)"
City of Adelaide,Adelaide,Australia,South Asia and Oceania,Public,,2017,Absolute target,Total,2007,1175630,35,2020,,,The target emissions will equate to 764160tCO2e in 2020,23615,2016,"(-34.928499, 138.600746)"
City of Ærøskøbing,Ærøskøbing,Denmark,Europe,Public,,2017,Absolute target,,2015,,10,,,,,6180,2017,"(54.891456, 10.404684)"
City of Akureyri,Akureyri,Iceland,Europe,Public,,2017,Absolute target,,1990,,40,2030,,,,18340,2016,"(65.688492, -18.126169)"
City of Alba-Iulia,Alba-Iulia,Romania,Europe,Public,,2017,Absolute target,Buildings,2008,4292,34,2020,,,,74000,2016,"(46.082337, 23.569027)"
City of Alba-Iulia,Alba-Iulia,Romania,Europe,Public,,2017,Absolute target,Buildings,2008,61560,25,2020,,,,74000,2016,"(46.082337, 23.569027)"
City of Alba-Iulia,Alba-Iulia,Romania,Europe,Public,,2017,Absolute target,Buildings,2008,98185,18,2020,,,,74000,2016,"(46.082337, 23.569027)"
City of Alba-Iulia,Alba-Iulia,Romania,Europe,Public,,2017,Absolute target,Transport,2008,44216,23,2020,,,,74000,2016,"(46.082337, 23.569027)"
City of Alba-Iulia,Alba-Iulia,Romania,Europe,Public,,2017,Absolute target,Other: Public Lighting - energy regeneration,2008,1935,38,2020,,,,74000,2016,"(46.082337, 23.569027)"
City of Albany,Albany,USA,North America,Public,,2017,Absolute target,,2009,,10,2030,,,,97856,2010,"(42.6526, -73.7562)"
City of Albany,Albany,USA,North America,Public,,2017,Absolute target,,2009,,20,2030,,,,97856,2010,"(42.6526, -73.7562)"
City of Albany,Albany,USA,North America,Public,,2017,Absolute target,,2009,,,2030,,,Divert 65% of solid waste from the landfill by 2030,97856,2010,"(42.6526, -73.7562)"
City of Albany,Albany,USA,North America,Public,,2017,Absolute target,,2009,,10,2030,,,,97856,2010,"(42.6526, -73.7562)"
City of Ann Arbor,Ann Arbor,USA,North America,Public,,2017,Absolute target,Total,2000,1681926,25,2025,,,,117770,2015,"(42.2808, -83.743)"
City of Ann Arbor,Ann Arbor,USA,North America,Public,,2017,Absolute target,Total,2000,1681926,90,2050,,,,117770,2015,"(42.2808, -83.743)"
"City of Arlington, VA","Arlington, VA",USA,North America,Public,,2017,Base year intensity target,Other: Community-wide (everything),2007,13,76,,,Metric tonnes of CO2e per capita,,220400,2016,"(37.226486, -76.002594)"
City of Aspen and Pitkin County,Aspen and Pitkin County,USA,North America,Public,,2017,Absolute target,,2004,,30,2020,,,,8427,2010,"(39.195, -106.837)"
City of Aspen and Pitkin County,Aspen and Pitkin County,USA,North America,Public,,2017,Absolute target,,2004,,80,2050,,,,8427,2010,"(39.195, -106.837)"
City of Athens,Athens,Greece,Europe,Public,C40,2017,Absolute target,Total,2014,5069040,40,2030,,,,664046,2011,"(37.98381, 23.727539)"
City of Atlanta,Atlanta,USA,North America,Public,,2017,Absolute target,Buildings,2009,373867,20,2020,,,"Benchmarking and retrofits for buildings larger than 25,000 soft",443775,2013,"(33.7489954, -84.3879824)"
City of Atlanta,Atlanta,USA,North America,Public,,2017,Absolute target,Transport,2009,27266,20,2020,,,"Sharing mobility strategies, TOD, and parking strategies",443775,2013,"(33.7489954, -84.3879824)"
City of Atlanta,Atlanta,USA,North America,Public,,2017,Absolute target,Waste,2009,29000,80,2020,,,Reevaluation of recycling curbing and educational programs with public and private sector,443775,2013,"(33.7489954, -84.3879824)"
City of Austin,Austin,USA,North America,Public,C40,2017,Absolute target,Total,2010,14050168,100,2050,,,"Our goal is to have net zero carbon emissions by 2050 with interim goals following a linear target line from our 2010 baseline to 2050.  Our interim goals are: 2020: 11,300,000 MT CO2e 2030: 8,000,000 MT CO2e 2040: 4,600,000 MT CO2e  Page 5 of our climate plan shows our linear target path  http://austintexas.gov/sites/default/files/files/Sustainability/OOS_AustinClimatePlan_032915_SinglePages.pdf",912791,2016,"(30.2672, -97.7431)"
City of Baltimore,Baltimore,USA,North America,Public,,2017,Absolute target,Total,2010,,15,2020,,,Key findings by sector provide guidance for where strategies can perhaps slow future emissions growth.• GHG emissions from the energy sector are anticipatedto increase slightly from 79.5 percent (2010) to 79.9percent (2020).• The transportation-related emissions are anticipatedto decrease from 15.6 percent (2010) to 15.2 percent(2020).• The waste-related emissions are anticipated to remainunchanged at 2.8 percent.• Wastewater treatment GHG emissions are expected toremain unchanged at 1.5 percent.• GHG emissions from the water sector are anticipatedto remain unchanged at 0.7 percent.All GHG emissions have been calculated and presented inmetric tons of carbon dioxide equivalent emissions per year(MT CO2e/yr).,614664,2016,"(39.2903848, -76.6121893)"
"City of Bellingham, WA","Bellingham, WA",USA,North America,Public,,2017,Absolute target,,2000,,7,2012,,,,84000,2016,"(48.7519, -122.4787)"
City of Benicia,Benicia,USA,North America,Public,,2017,Absolute target,,2000,,10,2020,,,,27450,2014,"(38.049365, -122.1585777)"
City of Boston,Boston,USA,North America,Public,C40,2017,Absolute target,Total,2005,7350268,25,2020,,,,669469,2015,"(42.3584308, -71.0597732)"
City of Boston,Boston,USA,North America,Public,C40,2017,Absolute target,Total,2005,7350268,100,2050,,,"In January, 2017 Mayor Walsh announced a new goal of being carbon-neutral by 2050.",669469,2015,"(42.3584308, -71.0597732)"
City of Boulder,Boulder,USA,North America,Public,,2017,Absolute target,Total,2005,1949796,80,2050,,,"Our progress toward this reduction target is publicly available on our city-wide dashboard, Boulder Measures: https://bouldercolorado.gov/boulder-measures",107167,2015,"(40.0274, -105.2519)"
City of Bournemouth,Bournemouth,United Kingdom,Europe,Public,,2017,Base year intensity target,Other:,2005,6,30,,,Metric tonnes of CO2e per capita,,191400,2015,"(50.719164, -1.880769)"
City of Brasília,Brasília,Brazil,Latin America,Public,,2017,Absolute target,Total,2005,5648140,40,2020,,,"O Distrito Federal conta com a Lei de Clima Nº 4.797/2012, ainda não regulamentada, cuja meta de mitigação está de acordo com as metas da PNMC- LEI Nº 12.187/2009, neste caso, meta de 40% até 2020. A Lei de Clima do DF também determinou a internalização da dimensão climática no planejamento da malha viária e da oferta dos diferentes modais de transportes. Determinou também o estabelecimento de limites e metas de redução progressiva e a promoção do monitoramento das emissões dos GEE pelo sistema de transporte do DF. Além disso, para o sistema de transporte público, a Lei determina uma redução progressiva do uso de combustíveis fósseis e meta progressiva de redução de, pelo menos, 10% a cada ano, a partir de 2011. Em 2020, de acordo com a Lei de Clima do DF, todos os ônibus do sistema de transporte público do Distrito Federal estarão utilizando combustível renovável não fóssil. A Lei também prevê redução do desmatamento e de decisões de fortalecimento das remoções antrópicas por sumidouros de gases de efeito estufa no território.",1409671,2015,"(-15.794229, -47.882166)"
"City of Brisbane, CA","Brisbane, CA",USA,North America,Public,,2017,Absolute target,Total,2005,,15,2020,,,,4603,2015,"(37.6808, -122.4)"
City of Buenos Aires,Buenos Aires,Argentina,Latin America,Public,C40,2017,Baseline scenario (business as usual) target,,2008,12742478,,2030,17314751,,,3059122,2016,"(-34.6037232, -58.3815931)"
City of Cleveland,Cleveland,USA,North America,Public,,2017,Absolute target,Total,2010,12519122,16,2020,,,"This goal is science-based and designed to be bold, yet achievable.The Climate Action Plan includes details on how much each emission reduction activity contributes to the goal.",396815,2010,"(41.4993, -81.6944)"
City of Lancaster,Lancaster,USA,North America,Public,,2017,Baseline scenario (business as usual) target,,,,,,,,,161000,2015,"(40.0379, -76.3055)"
City of Burlington,Burlington,USA,North America,Public,,2017,Absolute target,,2007,,20,2020,,,"Reduction GoalsSubsequent to the completion of the 2007 GHG emissions inventory, the City established the following emissions reduction targets: Short-term: Reduction of 20% below 2007 levels by 2020 *Equals 1.5% annual reduction until 2020 Long-term: Reduction of 80% below 2007 levels by 2050 *Equals 2% annual reduction between 2020 and 2050 To achieve its 2020 goal, the City would have to reduce the emissions generated by its municipal operations by 4,657 tons of CO2 equivalent, while the community-wide emissions reduction would have to approach 86,485 tons of CO2 equivalent. These are not insignificant numbers, but if the City and community come together in working towards those same goals, we can surely achieve them. Exploration of new technologies, new financial incentives and/or financing schemes, as well as a general willingness and commitment to the implementation of this plan will bring success.",42284,2015,"(44.4758825, -73.212072)"
City of Calgary,Calgary,Canada,North America,Public,,2017,Absolute target,Total,2005,15793731,20,2020,,,,1235055,2016,"(51.048615, -114.070846)"
City of Calgary,Calgary,Canada,North America,Public,,2017,Absolute target,Total,1990,11871100,50,2036,,,Target was set as part of imagineCALGARY (a community-wide engagement in 2006 to set the 100-year sustainability vision for Calgary).,1235055,2016,"(51.048615, -114.070846)"
City of Calgary,Calgary,Canada,North America,Public,,2017,Absolute target,Total,2005,15793731,80,2050,,,,1235055,2016,"(51.048615, -114.070846)"
City of Cambridge,Cambridge,USA,North America,Public,,2017,Absolute target,Total,2012,1462236,100,2050,,,,109694,2014,"(45.601, -93.327333)"
City of Cape Town,Cape Town,South Africa,Africa,Public,C40,2017,Baseline scenario (business as usual) target,Residential buildings,2012,4619754,,Other: 2022,4714983,The overall target is -13% total CO2e reduction off business-as-usual scenario by 2022,,4012441,2016,"(-33.9253, 18.4239)"
City of Cape Town,Cape Town,South Africa,Africa,Public,C40,2017,Baseline scenario (business as usual) target,Commercial buildings,2012,6037936,,Other: 2022,8365386,The overall target is -13% total CO2e reduction off business-as-usual scenario by 2022,,4012441,2016,"(-33.9253, 18.4239)"
City of Cape Town,Cape Town,South Africa,Africa,Public,C40,2017,Baseline scenario (business as usual) target,Industrial buildings,2012,2203336,,Other: 2022,2546299,The overall target is -13% total CO2e reduction off business-as-usual scenario by 2022,,4012441,2016,"(-33.9253, 18.4239)"
City of Cape Town,Cape Town,South Africa,Africa,Public,C40,2017,Baseline scenario (business as usual) target,Public buildings,2012,143959,,Other: 2022,174402,The overall target is -13% total CO2e reduction off business-as-usual scenario by 2022,,4012441,2016,"(-33.9253, 18.4239)"
City of Cape Town,Cape Town,South Africa,Africa,Public,C40,2017,Baseline scenario (business as usual) target,Transportation,2012,7591848,,Other: 2022,9008621,The overall target is -13% total CO2e reduction off business-as-usual scenario by 2022. The target for transport only is -3.2% CO2e reduction off business-as-usual scenario.,,4012441,2016,"(-33.9253, 18.4239)"
City of Cape Town,Cape Town,South Africa,Africa,Public,C40,2017,Baseline scenario (business as usual) target,Wastewater,2012,13399,,Other: 2022,162336,The overall target is -13% total CO2e reduction off business-as-usual scenario by 2022,,4012441,2016,"(-33.9253, 18.4239)"
City of Cardiff,Cardiff,United Kingdom,Europe,Public,,2017,Absolute target,Other:,2005,2667000,26,2020,,,"This 26% reduction target is for per capita emissions (NB Cardiff is the UKs fastest growing city).  The per capita carbon emissions were 8.3 tonnes in 2005 and are 6.1 in 2013, demonstrating a 27% reduction in per capita emissions.  (The reduction in absolute emissions from 2005 to 2013 is 20%)",354300,2014,"(51.481581, -3.17909)"
City of Charlotte,Charlotte,USA,North America,Public,,2017,Absolute target,,Other,,100,2050,,,"We have a goal to be carbon neutral by 2050, and are currently working on our baseline inventory through the GPC.",809958,2014,"(35.2271, -80.8431)"
"City of Charlottesville, VA","Charlottesville, VA",USA,North America,Public,,2017,Absolute target,Total,2000,868952,10,2035,,,,48210,2010,"(38.0293, -78.4767)"
"City of Charlottesville, VA","Charlottesville, VA",USA,North America,Public,,2017,Baseline scenario (business as usual) target,,,,,,,,,48210,2010,"(38.0293, -78.4767)"
City of Chicago,Chicago,USA,North America,Public,C40,2017,Absolute target,Total,1990,32300000,80,2050,,,The 1990 baseline was chosen in alignment with the Kyoto Protocol,2720546,2015,"(41.8781136, -87.6297982)"
City of Chicago,Chicago,USA,North America,Public,C40,2017,Absolute target,Total,1990,32300000,25,2020,,,The 1990 baseline was chosen in alignment with the Kyoto Protocol,2720546,2015,"(41.8781136, -87.6297982)"
City of Cincinnati,Cincinnati,USA,North America,Public,,2017,Absolute target,Total,2006,9.3,84,2050,,,,298550,2015,"(39.1031, -84.512)"
City of Cincinnati,Cincinnati,USA,North America,Public,,2017,Absolute target,Total,2006,9.3,40,2030,,,,298550,2015,"(39.1031, -84.512)"
City of Lancaster,Lancaster,USA,North America,Public,,2017,Base year intensity target,,,,,,,,,161000,2015,"(40.0379, -76.3055)"
City of Cleveland,Cleveland,USA,North America,Public,,2017,Absolute target,Total,2010,12519122,40,2030,,,"This goal is science-based and designed to be bold, yet achievable.The Climate Action Plan includes details on how much each emission reduction activity contributes to the goal.",396815,2010,"(41.4993, -81.6944)"
City of Cleveland,Cleveland,USA,North America,Public,,2017,Absolute target,Total,2010,12519122,80,2050,,,"This goal is science-based and designed to be bold, yet achievable. The Climate Action Plan does not include detail on how much each emission reduction activity contributes. This is more of a visionary goal.",396815,2010,"(41.4993, -81.6944)"
"City of Columbia, SC","Columbia, SC",USA,North America,Public,,2017,Absolute target,Total,2006,,7,2016,,,,133358,2015,"(34.0007, -81.0348)"
City of Columbus,Columbus,USA,North America,Public,,2017,Absolute target,Total,2013,240971,20,2020,,,,850106,2016,"(39.9611755, -82.9987942)"
City of Copenhagen,Copenhagen,Denmark,Europe,Public,C40,2017,Baseline scenario (business as usual) target,Total,,,,2025,900000,,,602504,2016,"(55.6760968, 12.5683371)"
City of Hayward,Hayward,USA,North America,Public,,2017,Absolute target,Total,2005,1183274,20,2020,,,Baseline does NOT include all records used in the 2010 & 2015 inventories.,158985,2016,"(37.6689, -122.0808)"
City of Cupertino,Cupertino,USA,North America,Public,,2017,Absolute target,Total,2010,307288,15,2020,,,"In light of more current guidance from OPR or BAAQMD at the time of document preparation, Cupertino has selected a reduction target of 15% below 2010 baseline levels by 2020 as a proxy for a return to 1990 levels.",60572,2015,"(37.322998, -122.032182)"
City of Cupertino,Cupertino,USA,North America,Public,,2017,Absolute target,Total,2010,307288,49,2035,,,,60572,2015,"(37.322998, -122.032182)"
City of Cupertino,Cupertino,USA,North America,Public,,2017,Absolute target,Total,2010,307288,83,2050,,,,60572,2015,"(37.322998, -122.032182)"
"City of Davis, CA","Davis, CA",USA,North America,Public,,2017,Absolute target,,2010,,100,2050,,,,65600,2010,"(38.544907, -121.740517)"
City of Delhi,Delhi,India,South and West Asia,Public,C40,2017,Absolute target,,,,,,,,,15000000,2011,"(28.704059, 77.10249)"
City of Delhi,Delhi,India,South and West Asia,Public,C40,2017,Baseline scenario (business as usual) target,,,,,,,,,15000000,2011,"(28.704059, 77.10249)"
City of Denver,Denver,USA,North America,Public,,2017,Absolute target,Total,1990,11800000,1,2020,,,The goal is to get to at or below 1990 level emissions by 2020,682545,2015,"(39.737567, -104.9847179)"
City of Denver,Denver,USA,North America,Public,,2017,Absolute target,Total,2005,13250000,80,2050,,,Denver is utilizing a 2005 baseline for our long term goal as there were more robust data available in 2005 compared to 1990.,682545,2015,"(39.737567, -104.9847179)"
City of Durham,Durham,USA,North America,Public,,2017,Baseline scenario (business as usual) target,,2005,6837430,,2030,10084260,"This is for the entire Durham County community, not just the city boundary, and includes residential/commercial/industrial buildings and transportation.",,250815,2015,"(35.994, -78.8986)"
City of Edmonton,Edmonton,Canada,North America,Public,,2017,Absolute target,Total,2005,14954000,35,2035,,,"Overall TCO2e reduction from cummulative residential, commercial, industrial and transportation sectors only. For example Industrial process and landfill gas emissions are not included.",893000,2015,"(53.544389, -113.4909267)"
City of Edmonton,Edmonton,Canada,North America,Public,,2017,Absolute target,Other:,2009,18.4,25,2035,,,The intensity value to three decimal places is 18.371 TCO2e/capita. This is a per capita emissions reduciton intensity based target.,893000,2015,"(53.544389, -113.4909267)"
City of Edmonton,Edmonton,Canada,North America,Public,,2017,Base year intensity target,Other:,2009,18,25,,,Metric tonnes of CO2e per capita,,893000,2015,"(53.544389, -113.4909267)"
"City of Emeryville, CA","Emeryville, CA",USA,North America,Public,,2017,Absolute target,,2004,,40,2030,,,,10570,2014,"(37.831316, -122.285247)"
"City of Emeryville, CA","Emeryville, CA",USA,North America,Public,,2017,Absolute target,,2004,,80,2050,,,,10570,2014,"(37.831316, -122.285247)"
City of Espoo,Espoo,Finland,Europe,Public,,2017,Absolute target,Total,1990,1060000,80,2050,,,"Target is Carbon neutrality, it is estimated that it will mean 80 % reduction",274522,2016,"(60.205491, 24.6559)"
City of Espoo,Espoo,Finland,Europe,Public,,2017,Base year intensity target,Other:,1990,6,60,,,Metric tonnes of CO2e per capita,,274522,2016,"(60.205491, 24.6559)"
City of Eugene,Eugene,USA,North America,Public,,2017,Absolute target,Total,2010,1846983,7.6,2020,,,,165885,2016,"(44.0519, -123.0867)"
"City of Fayetteville, AR","Fayetteville, AR",USA,North America,Public,,2017,Absolute target,Total,2010,1025453,80,2050,,,The draft Energy Action Plan is calling for a 3% GHG reduction every year with an overall GHG reduction of 80% by the year 2050.,82830,2016,"(36.082156, -94.171854)"
City of Fort Collins,Fort Collins,USA,North America,Public,,2017,Absolute target,Total,2005,2410518,20,2020,,,,161000,2016,"(40.5853, 105.0844)"
City of Gdynia,Gdynia,Poland,Europe,Public,,2017,Absolute target,Total,1999,,20,2020,,,"Gdynia has the Low Emission Economy Plan 2015-2020. Up to 2020 Gdynia declared to reduce the emission of CO2 by 20%, to reduce the consumption of  the final energy by 28% and to increase power installed renewable energy sources by 14,4 MW.",247329,2016,"(54.51889, 18.530541)"
City of Greensboro,Greensboro,USA,North America,Public,,2017,Absolute target,Total,2007,5365412,0,2020,,,Goal is to stabilize at baseline emissions level.,287027,2017,"(36.072635, -79.791975)"
City of Hamilton,Hamilton,Canada,North America,Public,,2017,Absolute target,Total,2006,23087326,10,2012,,,Targets achieved in 2011.,550700,2015,"(43.250021, -79.866091)"
City of Hamilton,Hamilton,Canada,North America,Public,,2017,Absolute target,Total,2006,23087326,20,2020,,,Targets achieved in 2011.,550700,2015,"(43.250021, -79.866091)"
City of Hamilton,Hamilton,Canada,North America,Public,,2017,Absolute target,Total,2006,23087326,50,2030,,,Targets set in 2015 to follow Corporate targets and community request under Community Climate Change Action Plan 2015,550700,2015,"(43.250021, -79.866091)"
City of Hamilton,Hamilton,Canada,North America,Public,,2017,Absolute target,Total,2006,23087326,80,2050,,,New targets set in 2013 by Council.,550700,2015,"(43.250021, -79.866091)"
City of Helsinki,Helsinki,Finland,Europe,Public,,2017,Absolute target,Total,1990,,30,2020,,,City Council Strategy 2013-2016,636000,2016,"(60.1733244, 24.9410248)"
City of Helsinki,Helsinki,Finland,Europe,Public,,2017,Absolute target,Total,1990,,39,2030,,,Climate strategy for the metropolitan area. Target achieved in 2014.,636000,2016,"(60.1733244, 24.9410248)"
City of Helsinki,Helsinki,Finland,Europe,Public,,2017,Absolute target,Total,1990,,20,2020,,,"City's energy policy lines, Covenant of Mayors. Target achieved in 2013.",636000,2016,"(60.1733244, 24.9410248)"
City of Iowa City,"Iowa ",USA,North America,Public,,2017,Absolute target,Total,2005,,27,2025,,,Baseline emissions to be estimated,74220,2015,"(41.6611, -91.5302)"
City of Iowa City,"Iowa ",USA,North America,Public,,2017,Absolute target,Total,2005,,80,2050,,,Baseline emissions to be estimated,74220,2015,"(41.6611, -91.5302)"
City of Johannesburg,Johannesburg,South Africa,Africa,Public,C40,2017,Baseline scenario (business as usual) target,,,,,,,,,4900000,2016,"(-26.2041028, 28.0473051)"
City of Knoxville,Knoxville,USA,North America,Public,,2017,Absolute target,Total,2005,4507885,20,2020,,,"Note: For question 7.3, The City of Knoxville has not estimated anticipated reductions or measure reductions based on each emissions reduction activity.  However, the cumulative effect of past emissions reductions activities reduced residential energy consumption by 2%, commercial energy consumption by 13%, and community greenhouse gas emissions by 7.75% between 2005 and 2012.",185291,2016,"(35.9606, -83.9207)"
City of Kuala Lumpur,Kuala Lumpur,Malaysia,South Asia and Oceania,Public,C40,2017,Absolute target,Total,2010,25427,70,2030,,,reduce as much as 70% of CO2 emission intensify by 2030,1890000,2015,"(3.139003, 101.686855)"
"City of La Crosse, WI","La Crosse, WI",USA,North America,Public,,2017,Absolute target,,,,,,,,,51320,2010,"(43.8014, -91.2396)"
City of Lahti,Lahti,Finland,Europe,Public,,2017,Absolute target,Total,1990,,35,2020,,,In the City strategy: -50% by 2015 (from 1990 level),119452,2016,"(60.9833, 25.65)"
"City of Lake Forest, IL","Lake Forest, IL",USA,North America,Public,,2017,Absolute target,,2007,,20,2015,,,"After reaching our target, our current goal is to decrease emissions 2% annually.",19375,2010,"(42.258634, -87.840625)"
